Agriculture,Animal/Pets,Beauty/Fashion,Business Services,Children/Education,Electronics,Entertainment,Fitness/Sports/Outdoors,Food And Beverage,Green/Cleantech,Hardware,Lifestyle/Home,Liquor/Alcohol,Manufacturing,Medical/Health,Others,Technology/Software,Vehicles/Electrical Vehicles,Pitchers Average Age,Yearly Revenue,Gross Margin,Net Margin,EBITDA,Has Patents,Bootstrapped,SKUs,Original Ask Amount,Original Offered Equity,Deal Valuation,Company Age
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05572900019432794,-1.6585799970193724,0.03234231729856389,-0.8145650930125853,0,0,-0.7939674376352235,-1.2930665966454171,0.6309249077094473,5.017279836814924,-1.2324497820232792
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.019246969235239074,-0.09756352923643367,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,-1.2930665966454171,-0.38163811524876573,6.90875477931522,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.33959567555207326,-0.3577329405335901,0.03234231729856389,-0.49543539431291483,0,0,1.532949479433613,-0.44411732020127587,0.6309249077094473,5.811140992976701,-0.8079169988019053
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-2.1840936578002252,-0.1300847056485782,-0.5592598542600339,0.010770334658976213,0,0,0.15900613818327788,-1.2930665966454171,2.3185299459731357,5.017279836814924,-1.6569825652446528
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.35447737189988493,1.5935376441950833,-1.4466631115979305,0.010770334658976213,0,0,0.15900613818327788,0.23612829864447285,0.2934039000567096,6.2166061010848646,0.04114856764084229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-2.1840936578002252,-0.3577329405335901,1.5113477461950584,1.496374104467787,0,0,1.183338746515328,-0.8162987277502921,0.6309249077094473,5.123963979403259,-1.2324497820232792
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6720153933702862,-0.3577329405335901,0.03234231729856389,0.17583742019328852,0,0,0.15900613818327788,-1.2930665966454171,-0.8879196267278723,8.160803920954665,0.46568135086221607
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.43024073586072137,-1.4959741149586496,-1.4466631115979305,0.8361057623305378,1,0,-2.173936838328482,-0.44411732020127587,2.3185299459731357,5.5254529391317835,-0.3833842155805315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.2042632980780498,-0.3577329405335901,-0.263458768480735,-0.49543539431291483,0,0,1.532949479433613,-0.44411732020127587,-0.38163811524876573,6.90875477931522,-0.8079169988019053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.4379365976365555,0.9431141159521922,0.03234231729856389,-0.3193638364096484,0,0,-0.9698178453464723,0.721085413385939,-0.04411710759602807,7.419380582918692,-0.8079169988019053
